SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_Date
DCM,EQ,146,12-Jan-22,23,31-Mar-21
DCMNVL,EQ,386.1,14-Jan-22,76.8,22-Apr-21
DCMSHRIRAM,EQ,1250,19-Oct-21,481.4,26-Mar-21
DCMSRIND,EQ,116.75,04-Feb-22,81,24-Feb-22
DCW,EQ,65.9,06-Oct-21,24.8,19-Mar-21
DECCANCE,EQ,846.75,04-Aug-21,377.55,19-Mar-21
DEEPAKFERT,EQ,659.9,07-Feb-22,203.15,09-Mar-21
DEEPAKNTR,EQ,3020,19-Oct-21,1428.25,19-Mar-21
DEEPENR,EQ,62.7,14-Jul-21,30.5,22-Apr-21
DEEPINDS,EQ,225.6,10-Feb-22,33.8,27-Apr-21
DELPHIFX,EQ,818,07-Sep-21,420,24-Feb-22
DELTACORP,EQ,308.5,10-Nov-21,142.2,19-Apr-21
DELTAMAGNT,EQ,111.65,12-Jan-22,25.85,22-Apr-21
